#	oldPageId	oldPage	disposition	newTarget	note
1	FBcre9R5VO8	登录	保留	/auth/login	
2	rO3Pd6xb0A	首页	保留	/home	
3	vW8yJHwBF	任务专区	重构	/tasks	旧页为空；2026-08-17 后续决定改为读取现有赛事、工坊、学习、权益与机会状态的派生聚合页。
4	4Og6sVUqf3	赛事	保留	/competitions	
5	G-Mpir1yrM	学院	合并	/courses	
6	5Tgm571aEm	社区	拆分	/opportunities + /companies + /news	“社区”实际混合公告、企业、实训机会；按业务对象拆分，最终一级命名待定。
7	lDO4Uuh5ty	我的	保留	/me	
8	ImIHEa4rywq	赛事 / 赛事筛选器	合并	/competitions?filters=...	
9	-XaaWLUc4Xx	赛事 / 我的比赛	保留	/competitions/mine	
10	GYHs51Viggs	赛事 / 赛事详情（未报名）	合并	/competitions/:competitionId	
11	9qTqzqT0PIk	赛事 / 赛事详情（完成报名）	合并	/competitions/:competitionId	
12	VdyuGd7BMf3	赛事 / 赛事详情（已结束）	合并	/competitions/:competitionId	
13	ZKylX-NG0Yv	赛事 / 我的团队	合并	/competitions/:competitionId/workspace/team	
14	__TpEYGhiOa	赛事 / 赛事资料	保留	/competitions/:competitionId/workspace/resources	
15	bIv2Tpn3AAi	赛事 / 赛事详情（未报名） / 报名弹窗选择	合并	/competitions/:competitionId/registration	
16	QjPa82spZzX	赛事 / 赛事详情（未报名） / 基础信息填写（队长）	归档	external responsive registration	复杂原生报名/答题/注册成功由既有响应式报名层承接；App 只负责跳入、返回和状态回流。
17	rVhC6jR5icG	赛事 / 赛事详情（未报名） / 基础信息填写（队员）	归档	external responsive registration	复杂原生报名/答题/注册成功由既有响应式报名层承接；App 只负责跳入、返回和状态回流。
18	zWlBc8kea2S	赛事 / 赛事详情（未报名） / 答题弹窗	归档	external responsive registration	复杂原生报名/答题/注册成功由既有响应式报名层承接；App 只负责跳入、返回和状态回流。
